longitude,latitude,Diameter:double,Color:integer,Note:string,User:string
91.59,-85.075,1164220,-16777216,ID:30-000000,
-26.912,-18.24,1096650,-16777216,ID:19-000000,
-32.734,-25.097,624500,-16777216,ID:19-000001,
12.963,-6.13,512750,-16777216,ID:20-000000,
55.582,-13.882,467250,-16777216,ID:21-000000,
16.8,-2.508,445760,-16777216,ID:20-000001,
2.813,-36.774,427150,-16777216,ID:27-000000,
32.11,23.351,408230,-16777216,ID:12-000000,
60.831,21.382,400950,-16777216,ID:13-000000,
-167.572,36.748,376350,-16777216,ID:02-000000,
-3.827,-21.609,358720,-16777216,ID:19-000002,
35.927,13.278,343700,-16777216,ID:12-000001,
-76.801,-58.836,341100,-16777216,ID:25-000000,
53.243,23.459,340120,-16777216,ID:13-000001,
-109.49,-52.738,326770,-16777216,ID:25-000001,
28.93,-0.374,325800,-16777216,ID:20-000002,
-158.061,-40.428,312440,-16777216,ID:24-000000,
171.097,-13.251,311680,-16777216,ID:23-000000,
-84.103,-59.941,301990,-16777216,ID:25-000002,
-168.828,-48.845,301830,-16777216,ID:24-000001,
-32.108,-24.716,300360,-16777216,ID:19-000003,
129.893,-14.48,297920,-16777216,ID:22-000000,
55.994,-1.896,291590,-16777216,ID:21-000001,
-141.426,-29.552,285140,-16777216,ID:16-000000,
41.864,12.942,284850,-16777216,ID:12-000002,
82.006,54.367,279110,-16777216,ID:06-000000,
168.637,-29.883,276560,-16777216,ID:23-000001,
-21.221,2.772,275960,-16777216,ID:11-000000,
178.616,14.232,263350,-16777216,ID:15-000000,
-26.92,-4.338,261310,-16777216,ID:19-000004,
-177.611,-34.386,260850,-16777216,ID:24-000002,
-94.491,-58.499,256860,-16777216,ID:25-000003,
1.074,-24.239,256450,-16777216,ID:20-000003,
-170.652,-37.688,250200,-16777216,ID:24-000003,
19.222,-16.799,236060,-16777216,ID:20-000004,
-116.904,-50.118,228670,-16777216,ID:25-000004,
-30.879,-50.645,223020,-16777216,ID:26-000000,
-175.838,-37.631,222880,-16777216,ID:24-000004,
141.161,-46.746,222310,-16777216,ID:29-000000,
29.31,50.457,220300,-16777216,ID:05-000000,
18.436,43.674,218390,-16777216,ID:05-000001,
101.974,-57.845,216870,-16777216,ID:28-000000,
0.772,11.707,215110,-16777216,ID:12-000003,
130.911,-41.827,211230,-16777216,ID:29-000001,
-37.743,-19.827,209660,-16777216,ID:19-000005,
-145.022,-42.819,203960,-16777216,ID:24-000005,
89.826,47.864,202250,-16777216,ID:06-000001,
19.106,-46.161,201710,-16777216,ID:27-000001,
-78.119,-72.017,201290,-16777216,ID:30-000001,
-45.79,-71.147,199130,-16777216,ID:30-000002,
-81.373,-51.951,199060,-16777216,ID:25-000005,
50.699,19.931,198970,-16777216,ID:13-000002,
-55.207,0.595,198810,-16777216,ID:10-000000,
20.512,-9.089,198540,-16777216,ID:20-000005,
-162.523,-38.157,197080,-16777216,ID:24-000006,
-143.002,-21.124,196680,-16777216,ID:16-000001,
-66.276,-31.134,195430,-16777216,ID:25-000006,
21.941,41.825,195170,-16777216,ID:05-000002,
-122.59,-41.636,194180,-16777216,ID:24-000007,
-173.155,31.119,189850,-16777216,ID:02-000001,
-163.273,-48.29,189460,-16777216,ID:24-000008,
-44.785,-66.334,185460,-16777216,ID:30-000003,
38.058,-9.106,185320,-16777216,ID:20-000006,
-8.544,-52.301,182070,-16777216,ID:26-000001,
65.482,22.762,181310,-16777216,ID:13-000003,
76.833,-39.338,179620,-16777216,ID:28-000001,
96.122,-27.486,179060,-16777216,ID:22-000001,
-3.962,-11.465,178900,-16777216,ID:19-000006,
19.146,-37.477,176780,-16777216,ID:27-000002,
-19.008,-56.956,176380,-16777216,ID:26-000002,
149.21,-27.486,175210,-16777216,ID:23-000002,
110.941,-52.435,174970,-16777216,ID:28-000002,
8.507,-23.118,174550,-16777216,ID:20-000007,
48.276,25.221,173700,-16777216,ID:13-000004,
74.141,-27.961,171500,-16777216,ID:21-000002,
30.35,-23.65,171070,-16777216,ID:20-000008,
167.934,-63.239,168770,-16777216,ID:29-000002,
23.447,10.79,167570,-16777216,ID:12-000004,
29.694,-47.574,167330,-16777216,ID:27-000003,
-140.296,-23.23,167190,-16777216,ID:16-000002,
1.642,-18.235,166400,-16777216,ID:20-000009,
125.426,1.833,165980,-16777216,ID:14-000000,
-7.943,21.892,165230,-16777216,ID:11-000001,
-157.727,-45.885,164840,-16777216,ID:24-000009,
-52.021,3.188,164140,-16777216,ID:10-000001,
-138.405,-69.608,161370,-16777216,ID:30-000004,
33.543,-17.428,159720,-16777216,ID:20-000010,
9.122,30.586,159160,-16777216,ID:05-000003,
50.22,-24.395,158670,-16777216,ID:21-000003,
-167.003,-26.849,158190,-16777216,ID:16-000003,
175.529,-14.512,158120,-16777216,ID:23-000003,
-164.235,-34.682,156580,-16777216,ID:24-000010,
-16.625,-43.189,155140,-16777216,ID:26-000003,
137.811,-5.367,154080,-16777216,ID:23-000004,
-128.454,-51.507,153890,-16777216,ID:24-000011,
-168.131,-20.207,153680,-16777216,ID:16-000004,
37.619,2.693,153630,-16777216,ID:12-000005,
15.759,-22.968,152900,-16777216,ID:20-000011,
-115.389,-54.718,152730,-16777216,ID:25-000007,
-34.019,-26.04,152660,-16777216,ID:19-000007,
29.91,10.221,152350,-16777216,ID:12-000006,
-164.641,-25.137,152090,-16777216,ID:16-000005,
-177.828,6.849,150810,-16777216,ID:08-000000,
-6.913,-8.955,150680,-16777216,ID:19-000008,
-12.95,16.099,148780,-16777216,ID:11-000002,
153.847,-21.138,148510,-16777216,ID:23-000005,
134.385,-70.549,147310,-16777216,ID:30-000005,
-159.042,-11.9,146180,-16777216,ID:16-000006,
-53.708,10.129,146020,-16777216,ID:10-000002,
29.244,33.025,145560,-16777216,ID:05-000004,
-6.925,-2.868,145210,-16777216,ID:19-000009,
2.002,-46.851,144300,-16777216,ID:27-000004,
57.496,39.161,144040,-16777216,ID:05-000005,
-63.232,38.019,144010,-16777216,ID:03-000000,
-162.547,-13.309,143650,-16777216,ID:16-000007,
73.573,-21.79,141860,-16777216,ID:21-000004,
-171.715,-35.989,141330,-16777216,ID:24-000012,
-169.032,5.777,140150,-16777216,ID:08-000001,
11.414,-18.171,140150,-16777216,ID:20-000012,
9.495,27.777,139060,-16777216,ID:12-000007,
-45.63,-66.293,138530,-16777216,ID:30-000006,
-44.396,-44.921,137650,-16777216,ID:26-000004,
25.6,7.322,137350,-16777216,ID:12-000008,
-26.909,5.721,137170,-16777216,ID:11-000003,
40.672,34.268,136660,-16777216,ID:05-000006,
-4.515,-49.353,136650,-16777216,ID:26-000005,
76.18,-67.518,136440,-16777216,ID:30-000007,
-36.355,-35.682,135650,-16777216,ID:26-000006,
17.099,-37.757,134990,-16777216,ID:27-000005,
141.115,-31.85,134810,-16777216,ID:29-000003,
-171.514,-53.197,134510,-16777216,ID:24-000013,
42.606,-37.986,134220,-16777216,ID:27-000006,
12.425,-54.54,133590,-16777216,ID:27-000007,
44.544,41.792,131550,-16777216,ID:05-000007,
26.602,-24.325,131520,-16777216,ID:20-000013,
-166.668,-17.27,131420,-16777216,ID:16-000008,
-172.817,36.405,130810,-16777216,ID:02-000002,
119.875,-75.484,130340,-16777216,ID:30-000008,
23.511,39.196,130260,-16777216,ID:05-000008,
-168.878,-31.241,130090,-16777216,ID:24-000014,
-161.199,-37.985,129490,-16777216,ID:24-000015,
-138.574,-63.525,128700,-16777216,ID:24-000016,
28.539,18.921,128540,-16777216,ID:12-000009,
-154.183,-23.248,128100,-16777216,ID:16-000009,
62.953,26.419,127780,-16777216,ID:13-000005,
-84.424,-47.343,127140,-16777216,ID:25-000008,
106.723,-75.304,126840,-16777216,ID:30-000009,
96.441,-41.228,126620,-16777216,ID:28-000003,
165.581,-54.254,125260,-16777216,ID:29-000004,
1.425,-35.696,125140,-16777216,ID:27-000008,
69.94,41.912,124510,-16777216,ID:06-000002,
56.732,26.086,124390,-16777216,ID:13-000006,
-91.771,-9.845,124160,-16777216,ID:17-000000,
2.766,-10.654,124160,-16777216,ID:20-000014,
133.31,-6.574,123310,-16777216,ID:22-000002,
127.933,-65.22,123280,-16777216,ID:30-000010,
-164.123,-18.391,123200,-16777216,ID:16-000010,
44.786,2.782,122640,-16777216,ID:12-000010,
-8.368,-52.164,122080,-16777216,ID:26-000007,
-15.366,-69.906,121840,-16777216,ID:30-000011,
122.754,-40,121830,-16777216,ID:29-000005,
140.841,-46.687,121510,-16777216,ID:29-000006,
86.005,-67.985,121340,-16777216,ID:30-000012,
61.552,-61.079,121100,-16777216,ID:28-000004,
-3.698,-15.278,120900,-16777216,ID:19-000010,
-68.606,47.339,120810,-16777216,ID:03-000001,
-9.226,64.898,120580,-16777216,ID:04-000000,
127.913,-25.749,120520,-16777216,ID:22-000003,
-124.3,-65.89,120250,-16777216,ID:30-000013,
-158.512,-19.59,120230,-16777216,ID:16-000011,
-141.755,-48.575,119720,-16777216,ID:24-000017,
144.959,-53.696,119610,-16777216,ID:29-000007,
-155.655,-45.916,119540,-16777216,ID:24-000018,
-156.331,-13.88,119270,-16777216,ID:16-000012,
177.301,64.205,118820,-16777216,ID:07-000000,
63.273,30.524,118800,-16777216,ID:06-000003,
-25.917,-48.219,118790,-16777216,ID:26-000008,
-170.704,-7.973,118460,-16777216,ID:16-000013,
-31.938,-61.943,118240,-16777216,ID:26-000009,
-158.846,-13.553,117960,-16777216,ID:16-000014,
172.527,30.941,117950,-16777216,ID:07-000001,
-176.552,-41.61,117940,-16777216,ID:24-000019,
20.235,-61.608,117640,-16777216,ID:27-000009,
-24.816,-41.088,116830,-16777216,ID:26-000010,
-20.573,-23.771,116300,-16777216,ID:19-000011,
24.618,19.309,116150,-16777216,ID:12-000011,
13.983,36.147,116070,-16777216,ID:05-000009,
-45.841,-0.128,115990,-16777216,ID:18-000000,
-143.123,-27.177,115870,-16777216,ID:16-000015,
-49.407,-65.957,115700,-16777216,ID:30-000014,
-112.098,-45.57,115470,-16777216,ID:25-000009,
156.973,-19.262,115460,-16777216,ID:23-000006,
-32.305,12.067,115340,-16777216,ID:11-000004,
59.216,7.404,115290,-16777216,ID:13-000007,
-132.65,-33.479,115200,-16777216,ID:24-000020,
45.073,0.433,114890,-16777216,ID:13-000008,
